table_name,year_value,year_unit,year_start_month,month,variable,commodity_element,market_segment,geographic_extent,value,unit
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1980/81,Marketing year,September,NA,Area bearing,Grapefruit,All,Florida,125.6,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1980/81,Marketing year,September,NA,Yield,Grapefruit,All,Florida,17.02229,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1980/81,Marketing year,November,NA,Area bearing,Grapefruit,All,California,21.8,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1980/81,Marketing year,November,NA,Yield,Grapefruit,All,California,12.06422,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1980/81,Marketing year,October,NA,Area bearing,Grapefruit,All,Texas,41.5,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1980/81,Marketing year,October,NA,Yield,Grapefruit,All,Texas,6.45783,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1980/81,Marketing year,November,NA,Area bearing,Grapefruit,All,Arizona,8.1,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1980/81,Marketing year,November,NA,Yield,Grapefruit,All,Arizona,11.11111,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1980/81,Marketing year,September,NA,Area bearing,Grapefruit,All,United States,197,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1980/81,Marketing year,September,NA,Yield,Grapefruit,All,United States,14.00508,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1981/82,Marketing year,September,NA,Area bearing,Grapefruit,All,Florida,127.8,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1981/82,Marketing year,September,NA,Yield,Grapefruit,All,Florida,15.99374,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1981/82,Marketing year,November,NA,Area bearing,Grapefruit,All,California,22,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1981/82,Marketing year,November,NA,Yield,Grapefruit,All,California,9.13636,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1981/82,Marketing year,October,NA,Area bearing,Grapefruit,All,Texas,41.1,thousand acres
